STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,1/31/18,,,0,0,0,,44,14,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/1/18,,,0,0,0,,42,16,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/2/18,,,,0,0,,44,23,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/3/18,,,0,0,0,,25,13,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/4/18,,,0,0,0,,28,13,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/5/18,,,0.78,,,,37,25,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/6/18,,,0,0,0,,37,19,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/7/18,,,0,0,0,,34,23,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/8/18,,,0.96,1,1,,38,22,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/9/18,,,0,0,1,,30,17,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/10/18,,,0,0,0,,32,17,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/11/18,,,0.71,0,0,,41,32,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/12/18,,,0.37,0,0,,57,38,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/13/18,,,0,0,0,,42,23,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/14/18,,,0.02,0,0,,36,24,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/15/18,,,0.02,0,0,,49,31,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/16/18,,,0.13,0,0,,56,38,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/17/18,,,0,0,0,,56,24,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/18/18,,,0.74,7,7,,39,25,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/19/18,,,0,,3,,42,23,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/20/18,,,0.05,0,0,,45,26,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/21/18,,,0,0,0,,64,43,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/22/18,,,0.34,0,0,,75,42,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/23/18,,,0.29,0,0,,45,34,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/24/18,,,0.22,0,0,,44,34,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/25/18,,,0.65,0,0,,52,39,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/26/18,,,0.42,0,0,,43,40,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/27/18,,,0,0,0,,51,32,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,2/28/18,,,0,0,0,,54,32,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/1/18,,,0,0,0,,58,32,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/2/18,,,1.05,0,0,,60,37,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/3/18,,,1,,0,,37,32,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/4/18,,,0,0,0,,43,34,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/5/18,,,0,0,0,,42,30,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/6/18,,,0,0,0,,43,28,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/7/18,,,0.13,1,1,,48,29,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/8/18,,,1.92,,12,,34,31,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/9/18,,,0,0,9,,38,27,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/10/18,,,0,0,7,,40,29,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/11/18,,,0,0,7,,37,24,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/12/18,,,0,0,0,,42,25,,,,,,,,
USC00280907,"BOONTON 1 SE, NJ US",40.8917,-74.3962,85.3,3/13/18,,,0.16,2,8,,42,25,,,,,,,,
