STATION,date,ENTRIES,EXITS
225 ST,2018-03-08,4084.0,1643.0
225 ST,2018-03-09,4021.0,2022.0
23 ST,2018-03-03,48203.0,38372.0
23 ST,2018-03-04,34595.0,27364.0
23 ST,2018-03-05,107540.0,81021.0
23 ST,2018-03-06,113944.0,86342.0
23 ST,2018-03-07,79770.0,60358.0
23 ST,2018-03-08,110073.0,84894.0
23 ST,2018-03-09,106769.0,81800.0
231 ST,2018-03-03,5862.0,755.0
231 ST,2018-03-04,4401.0,641.0
231 ST,2018-03-05,10010.0,1388.0
231 ST,2018-03-06,10636.0,1468.0
231 ST,2018-03-07,6852.0,949.0
231 ST,2018-03-08,10077.0,1345.0
231 ST,2018-03-09,10249.0,1343.0
233 ST,2018-03-03,2607.0,763.0
233 ST,2018-03-04,1869.0,605.0
233 ST,2018-03-05,5086.0,1336.0
233 ST,2018-03-06,5107.0,1330.0
233 ST,2018-03-07,3584.0,1043.0
233 ST,2018-03-08,4887.0,1310.0
233 ST,2018-03-09,4909.0,2126.0
238 ST,2018-03-03,2386.0,57.0
238 ST,2018-03-04,1824.0,68.0
238 ST,2018-03-05,4365.0,91.0
238 ST,2018-03-06,4689.0,100.0
238 ST,2018-03-07,3198.0,84.0
238 ST,2018-03-08,4285.0,125.0
238 ST,2018-03-09,4653.0,161.0
25 AV,2018-03-03,2866.0,694.0
25 AV,2018-03-04,2250.0,577.0
25 AV,2018-03-05,5534.0,1132.0
25 AV,2018-03-06,5690.0,1159.0
25 AV,2018-03-07,4378.0,1100.0
25 AV,2018-03-08,5425.0,1147.0
25 AV,2018-03-09,5332.0,1124.0
25 ST,2018-03-03,1524.0,1830.0
25 ST,2018-03-04,1113.0,1360.0
25 ST,2018-03-05,3805.0,3167.0
25 ST,2018-03-06,4035.0,3072.0
25 ST,2018-03-07,3118.0,2659.0
25 ST,2018-03-08,3944.0,2851.0
25 ST,2018-03-09,4078.0,2964.0
28 ST,2018-03-03,18633.0,21172.0
28 ST,2018-03-04,14073.0,15601.0
28 ST,2018-03-05,45337.0,41394.0
28 ST,2018-03-06,48582.0,44954.0
